,artist_name,track_name
8500,jerry garcia,bird song
9524,ronnie milsap,is it over
6782,lorde,homemade dynamite
19661,dj shadow,six days
1630,karen dalton,when a man loves a woman
6830,bebe rexha,bad bitch (feat. ty dolla $ign)
13450,mc5,high school
15614,jimmy reed,"aw shucks, hush your mouth"
18101,chick corea,spain
4837,arthur russell,that's us/wild combination
26624,mudvayne,scream with me
13724,stephen stills,turn back the pages
4499,mariah carey,the roof
23274,damian marley,living it up
1300,the beach boys,"anna lee, the healer"
26093,drowning pool,tear away
23082,kbong,livin' easy (feat. stick figure)
22708,michael prophet,you are a no good
13977,eric clapton,tell me that you love me
16645,thee oh sees,lupine ossuary
26813,flyleaf,call you out
11431,drive-by truckers,tornadoes
12851,the flamingos,you'll never walk alone
17132,dean martin,rock-a-bye your baby with a dixie melody
2904,tears for fears,change
12564,billie holiday,love me or leave me
1476,martha reeves & the vandellas,i should be proud
551,chubby checker,the hucklebuck
25875,nine inch nails,the big come down
23810,the who,the acid queen
419,dion & the belmonts,swinging on a star
15250,jimmie vaughan,dengue woman blues
13991,foghat,somebody's been sleepin' in my bed
15982,jj grey & mofro,circles
4300,olivia newton-john,please mr. please
9436,emmylou harris,long may you run
2097,donna summer,spring affair
25719,rage against the machine,without a face
11529,charley pride,where do i put her memory
2907,cocteau twins,my love paramour
10562,dolly parton,please help me i'm falling (in love with you)
9864,emmylou harris,today i started loving you again
8708,bachman-turner overdrive,down to the line
242,rania,منك بخاف
26075,journey,higher place
183,buddy holly,"blue days, black nights"
17188,chet baker,love me or leave me
17671,thelonious monk,nice work if you can get it (take 3)
27368,imagine dragons,love
16365,heartless bastards,the arrow killed the beast
14937,howlin' wolf,commit a crime
12668,b.b. king,did you ever love a woman
1405,three dog night,celebrate
27115,bring me the horizon,drown
6540,g-eazy,forbes
1513,andy williams,happy heart
6741,local natives,dark days
13651,eric clapton,bell bottom blues
10879,dwight yoakam,train in vain
12908,ella fitzgerald,ac-cent-tchu-ate the positive
543,little eva,run to her
19496,aim,ain't got time to waste
134,the chordettes,teen age goodnight
7622,jim reeves,after loving you
5226,lindsay lohan,drama queen (that girl)
4907,jimmy eat world,hear you me
5729,lil wayne,3 peat
25790,deftones,dai the flu
19715,will downing,king of fools
4527,sarah mclachlan,building a mystery
3568,roy orbison,in the real world
11579,rascal flatts,words i couldn't say
6560,rae sremmurd,this could be us
20269,michael franks,one day in st. tropez
20563,thievery corporation,no more disguise (feat. lou lou ghelichkhani)
20503,lamb,we fall in love
16819,savoy brown,why did you hoodoo me
6402,kid ink,show me (feat. chris brown)
5442,angels & airwaves,do it for me now
7146,carl smith,san antonio rose
22817,tessanne chin,hideaway
17197,judy garland,swanee
15507,jj grey & mofro,nare sugar
12866,etta james,anything to say you're mine
21719,roots radics,throw away your gun
17431,blossom dearie,lover man (oh where can you be)
5930,sugarland,stuck like glue
26893,wavves,nine is god
16132,joe bonamassa,feelin good
4901,*nsync,pop
19667,rjd2,take the picture off
16924,blackbird hill,to & fros
1916,sweet,fox on the run
26219,korn,alive
10185,ricky van shelton,you would do the same for me
8572,willie nelson,local memory
4194,nofx,linoleum
4642,warren g,nobody does it better
4411,social distortion,under my thumb
24991,slayer,postmortem
9361,the j. geils band,"insane, insane again"
8842,don williams,time on my hands
11755,uncle kracker,my girlfriend
28178,loon,relax your mind
25452,helmet,unsung
24441,iron maiden,phantom of the opera
14893,charley patton,shake it and break it (but don't let it fall mama)
18322,slave,son of slide
25718,marilyn manson,antichrist superstar
8617,kris kristofferson,lover please
21659,prince far i,armageddon
17745,astrud gilberto,fly me to the moon
22413,groundation,the seventh seal
12493,ella fitzgerald,soon
16709,joe bonamassa,distant lonesome train
330,the everly brothers,"oh, true love"
14633,alice cooper,the great american success story
4973,dave matthews band,big eyed fish
8239,waylon jennings,lonely weekends
10292,dolly parton,wildest dreams
3230,violent femmes,i held her in my arms
3203,the dream academy,the edge of forever
13917,muddy waters,that's alright
8259,merle haggard,i take a lot of pride in what i am
10728,steve earle,goodbye
10598,stephen bishop,separate lives
9296,the replacements,somethin to dü
6412,ty dolla $ign,"or nah (feat. the weeknd, wiz khalifa & dj mustard)"
15114,the black crowes,descending
10986,randy travis,my greatest fear
25466,damn yankees,don't tread on me
5978,blind pilot,three rounds and a sound
